#CHAPTER	TEXT	AUDIO	ANSWER-PIC	BLACKLIST-PIC	ENGLISH GLOSS	NOTES
	ᎩᏟ ᏡᎬ ᎾᎥ ᎦᏥᎪᏩᏘᎭ.	gihli-hlgv-nav-gajiigowhtiha			Dogs, a tree near, them I see.	
	ᏪᏌ ᎠᎨᏯ ᎾᎥ ᎦᏥᎪᏩᏘᎭ.	wesa-agehya-nav-gajiigowhtiha			Cats, a woman near, them I see.	
	ᎩᏟ ᏅᏯ ᎾᎥ ᎦᏥᎪᏩᏘᎭ.	gihli-nvya-nav-gajiigowhtiha			Dogs, a rock near, them I see.	
	ᏄᎾ ᏅᏯ ᎾᎥ ᏕᏥ̣ᎪᏩᏘᎭ.	nuna-nvya-nav-dejigowhtiha			Potatoes, a rock or rocks near, them I see.	
	ᏄᎾ ᏅᏯ ᎾᎥ Ꮵ̣ᎪᏩᏘᎭ.	nuna-nvya-nav-jigowhtiha			A potato, a rock near, it I see.	
						
	ᎥᏍᎩ ᎢᎾ ᎯᎪᏩᏘᎭ.	vsgi-ina-hiigowhtiha			That far, he or she you see.	
	ᏍᎩᎾ ᎢᎾ ᎯᎪᏩᏘᎭ.	sgina-ina-hiigowhtiha	vsgi-ina-hiigowhtiha		That far, he or she you see.	
						
	ᎥᏍᎩ ᎢᎾ ᎦᎯᎪᏩᏘᎭ.	vsgi-ina-gahiigowhtiha			Those far, them (animate) you see.	
	ᏍᎩᎾ ᎢᎾ ᎦᎯᎪᏩᏘᎭ.	sgina-ina-gahiigowhtiha	vsgi-ina-gahiigowhtiha		Those far, them (animate) you see.	
						
	ᎥᏍᎩᎾ ᎢᎾ Ꭿ̣ᎪᏩᏘᎭ.	vsgina-ina-higowhtiha			That far, it you see.	
	ᎾᏍᎩ ᎢᎾ Ꭿ̣ᎪᏩᏘᎭ.	nasgi-ina-higowhtiha	vsgina-ina-higowhtiha		That far, it you see.	
						
	ᎾᏍᎩ ᎢᎾ ᏕᎯ̣ᎪᏩᏘᎭ.	nasgi-ina-dehigowhtiha			Those far, them (inanimate) you see.	
						
	ᎦᏙ ᎤᎾᏍᏗ ᎠᏂ ᎦᏥᎪᏩᏘᎭ?	gado-unsdi-ahni			What all (animate) here do I see?	
	ᎦᏙ ᎤᎾᏍᏗ ᎤᎿ ᎦᏥᎪᏩᏘᎭ?	gado-unsdi-uhna		gado-unsdi-uhna; gado-usdi-uhna; vsgi-ina-gahiigowhtiha; vsgi-ina-hiigowhtiha; na-gihli; gihli-uhna	What all (animate) there do I see?	
	ᎦᏙ ᎤᏍᏗ ᎠᏂ ᏥᎪᏩᏘᎭ?	gado-usdi-ahni			What (animate) here do I see?	
	ᎦᏙ ᎤᏍᏗ ᎤᎿ ᏥᎪᏩᏘᎭ?	gado-usdi-uhna		gado-unsdi-uhna; gado-usdi-uhna; vsgi-ina-gahiigowhtiha; vsgi-ina-hiigowhtiha; na-gihli; gihli-uhna	What (animate) there do I see?	
	ᎦᏙ ᏧᏍᏗ ᎤᎿ ᏕᏥ̣ᎪᏩᏘᎭ?	gado-jusdi-uhna			What all (inanimate) there do I see?	
						
	ᎩᏟ ᎠᏂ ᏥᎪᏩᏘᎭ.	gihli-ahni			A dog here, it I see.	
	ᎩᏟ ᎤᎿ ᎦᏥᎪᏩᏘᎭ.	gihli-uhna		gado-unsdi-uhna; gado-usdi-uhna; vsgi-ina-gahiigowhtiha; vsgi-ina-hiigowhtiha; na-gihli; gihli-uhna	Dogs there, them I see.	
						
	ᎭᏢ ᎠᎨᏯ?	hadlv-agehya			Where is the woman?	
	ᎭᏢ ᎩᏟ?	hadlv-gihli			Where is the dog? Where are the dogs?	
	ᎭᏢ ᏅᏯ?	hadlv-nvya			Where is the rock? Where are the rocks?	
						
	ᎯᎠ ᎠᏍᎦᏯ ᎠᏂ.	hia-asgaya			This man is here.	
	ᎯᎠ ᏄᎾ ᎠᏂ.	hia-nuna			This potato is here. These potatoes are here.	
						
	Ꮎ ᎠᎨᏯ ᎤᎿ.	na-agehya		agehya-uhna; na-agehya	That woman is there.	
	Ꮎ ᎩᏟ ᎤᎿ.	na-gihli		gado-unsdi-uhna; gado-usdi-uhna; vsgi-ina-gahiigowhtiha; vsgi-ina-hiigowhtiha; na-gihli; gihli-uhna	That dog is there. Those dogs are there.	
						
	ᏂᎯ.	nihi	nihi1; nihi2; nihi3	nihi	You one. You two. You all.	
						
